Itens NÃO mapeados (fora da região) para resultados_apartamento_aluguel:
Idx: 6, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 7, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 9, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 19, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 21, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 22, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 29, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 30, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 31, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 35, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 36, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 37, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 38, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 39, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 46, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 48, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 53, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 55, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 66, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 67, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 76, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 81, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 101, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 120, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 125, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 130, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 141, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 147, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 153, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 154, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 165, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 166, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 167, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 177, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 191, End: Planaltina, Setor Norte, Coords: (-15.4435452,-47.6069695), Fonte: Existente
Idx: 193, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 201, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 204, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 206, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 207, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 224, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 227, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 233, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 234, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 235, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 241, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 254, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 256, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 261, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 280, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 283, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 284, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 292, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 303, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 307, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 333, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 340, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 349, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 359, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 360, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 363, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 368, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 370, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 380, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 392, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 407, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 413, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 414, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 420, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 443, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 445, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 446, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 459, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 471, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 475, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
Idx: 476, End: Goiânia, Setor Bueno, Coords: (-19.9641196,-43.4070587), Fonte: Cache
